"학교명","학교급구분","위도","경도"
"홍익대학교사범대학부속초등학교","초등학교","37.55964474","126.9132084"
"중앙대학교사범대학부속중학교","중학교","37.50362942","126.9617326"
"서울소의초등학교","초등학교","37.55278186","126.9606556"
"서울성산초등학교","초등학교","37.55342789","126.9109504"
"행당중학교","중학교","37.55455404","127.0419634"
"서울당산초등학교","초등학교","37.54011912","126.8962411"
"서초중학교","중학교","37.48553868","127.0085193"
"신연중학교","중학교","37.58271543","126.9398364"
"서울금화초등학교","초등학교","37.56882755","126.9629414"
"서울세곡초등학교","초등학교","37.5050561","126.8491198"
"서울양명초등학교","초등학교","37.51637495","126.8566349"
"서울삼육초등학교","초등학교","37.5887715","127.0471713"
"사당중학교","중학교","37.48776119","126.9685407"
"서울대영초등학교","초등학교","37.50267937","126.9063367"
"서울가재울초등학교","초등학교","37.57376442","126.9183891"
"동양중학교","중학교","37.51022314","126.9574775"
"덕성여자중학교","중학교","37.57778598","126.9819235"
"덕수고등학교","고등학교","37.55526422","127.0411418"
"서울세륜초등학교","초등학교","37.51855781","127.1341633"
"홍익대학교사범대학부속고등학교","고등학교","37.59366662","127.002805"
"창북중학교","중학교","37.64911577","127.0388329"
"서울개화초등학교","초등학교","37.57394373","126.8046464"
"서울경인초등학교","초등학교","37.53287102","126.8856957"
"남강중학교","중학교","37.47137567","126.9249091"
"서울용산초등학교","초등학교","37.53561344","126.9725506"
"대명중학교","중학교","37.50633641","127.0609849"
"반포고등학교","고등학교","37.50270273","127.0165603"
"고려대학교사범대학부속고등학교","고등학교","37.60783857","127.0028302"
"서울독산초등학교","초등학교","37.46565691","126.8997128"
"서울배봉초등학교","초등학교","37.58008416","127.0668719"
"상명중학교","중학교","37.64954781","127.0680416"
"오류중학교","중학교","37.50786222","126.8462113"
"성동글로벌경영고등학교","고등학교","37.56585472","127.0135246"
"서울원명초등학교","초등학교","37.50079587","127.0167076"
"서울탑동초등학교","초등학교","37.45251655","126.9153675"
"서울수암초등학교","초등학교","37.64769283","127.0814646"
"서울창일초등학교","초등학교","37.64765764","127.0476085"
"서울동구로초등학교","초등학교","37.49407053","126.8927802"
"서울미성초등학교","초등학교","37.47833997","126.9123923"
"북악중학교","중학교","37.60700905","127.0016095"
"영원중학교","중학교","37.51497419","126.9136469"
"창덕여자고등학교","고등학교","37.51624351","127.1402736"
"서울신우초등학교","초등학교","37.46326397","126.9325353"
"서울남사초등학교","초등학교","37.48194349","126.9782341"
"신일중학교","중학교","37.62796722","127.0284273"
"서울도림초등학교","초등학교","37.50750302","126.9072907"
"강북중학교","중학교","37.6449159","127.0253734"
"서울백산초등학교","초등학교","37.44673975","126.905146"
"경인중학교","중학교","37.49846566","126.8536725"
"서울버들초등학교","초등학교","37.51028143","127.0889992"
"경기고등학교","고등학교","37.51756454","127.0560755"
"가원중학교","중학교","37.49099949","127.1231711"
"서울양화초등학교","초등학교","37.5436693","126.873986"
"명덕여자중학교","중학교","37.55394399","126.8342914"
"중앙대학교사범대학부속고등학교","고등학교","37.4919059","127.0521116"
"서울풍성초등학교","초등학교","37.52629486","127.1134884"
"경성중학교","중학교","37.56351064","126.9191663"
"서울홍은초등학교","초등학교","37.59754027","126.949458"
"숭문고등학교","고등학교","37.55087275","126.9457596"
"서울정릉초등학교","초등학교","37.61979605","127.0052561"
"한성고등학교","고등학교","37.55909644","126.9544615"
"서울청구초등학교","초등학교","37.55911668","127.0137244"
"서울매헌초등학교","초등학교","37.47126248","127.0420698"
"유석초등학교","초등학교","37.56080588","126.8537249"
"서울잠현초등학교","초등학교","37.52258587","127.1047786"
"서울석촌초등학교","초등학교","37.50263063","127.1052122"
"창동고등학교","고등학교","37.65103577","127.0388191"
"서울예술고등학교","고등학교","37.60575682","126.9678907"
"미래산업과학고등학교","고등학교","37.65877948","127.0784407"
"서울동교초등학교","초등학교","37.55862448","126.9024006"
